GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyectoFinal,edu.co.icesi.proyectofinal,ServletInitializer,12,0,0,0,2,0,2,0,2,0
proyectoFinal,edu.co.icesi.proyectofinal,ProyectoFinalApplication,5,3,0,0,2,1,1,1,1,1
proyectoFinal,edu.co.icesi.proyectofinal.entity.keys,RolePoliciesId,17,26,3,5,2,3,4,2,1,1
proyectoFinal,edu.co.icesi.proyectofinal.entity.keys,UserRoleId,17,26,3,5,2,3,4,2,1,1
proyectoFinal,edu.co.icesi.proyectofinal.entity.keys,EnrollmentId,43,3,8,0,5,1,6,1,2,1
proyectoFinal,edu.co.icesi.proyectofinal.entity.keys,AssignmentId,38,5,7,1,4,1,5,1,1,1
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,MessageServiceImpl,0,101,0,0,0,20,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,RoleServiceImpl,71,91,2,4,15,23,5,11,3,10
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,UserServiceImpl,92,131,4,0,23,29,5,14,3,14
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,PolicyServiceImpl,0,82,0,0,0,18,0,9,0,9
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,RoutineServiceImpl,0,178,1,3,0,40,1,14,0,13
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,ScheduleServiceImpl,0,85,0,0,0,18,0,10,0,10
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,ExerciseServiceImpl,0,112,0,0,0,24,0,12,0,12
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,RoutineExerciseServiceImpl,0,90,0,0,0,22,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,SpaceServiceImpl,0,76,0,0,0,16,0,9,0,9
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,ProgressServiceImpl,0,106,0,0,0,23,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,UserRoleServiceImpl,0,64,0,0,0,16,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,NotificationServiceImpl,0,117,0,0,0,25,0,12,0,12
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,RolePolicyServiceImpl,0,64,0,0,0,16,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,EnrollmentServiceImpl,0,85,0,0,0,19,0,12,0,12
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,RecommendationServiceImpl,0,85,0,0,0,18,0,10,0,10
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,ActivityServiceImpl,0,89,0,0,0,19,0,10,0,10
proyectoFinal,edu.co.icesi.proyectofinal.services.impl,AssignmentServiceImpl,0,80,0,0,0,18,0,11,0,11
proyectoFinal,edu.co.icesi.proyectofinal.controller,UserController,109,6,0,0,26,3,9,1,9,1
proyectoFinal,edu.co.icesi.proyectofinal.controller,AuthController,35,6,0,0,10,3,6,1,6,1
proyectoFinal,edu.co.icesi.proyectofinal.controller,RoleController,126,9,0,0,29,4,10,1,10,1
proyectoFinal,edu.co.icesi.proyectofinal.controller,PolicyController,62,9,0,0,14,4,6,1,6,1
proyectoFinal,edu.co.icesi.proyectofinal.security,WebSecurityConfig,0,94,0,0,0,19,0,6,0,6
proyectoFinal,edu.co.icesi.proyectofinal.security,AppUser,92,0,0,0,25,0,10,0,10,0
proyectoFinal,edu.co.icesi.proyectofinal.security,CustomUserDetailService,10,6,0,0,2,1,1,1,1,1
